ID,Q1,Q2,Q3,Q4
585,Rarely,Less,Poor service,Sit-down dining
586,Rarely,Less,Lack of sit down dining elements,Sit-down dining
587,Monthly,More,Lack of sit down dining elements,Sit-down dining
588,Monthly,Less,High prices,Sit-down dining
589,Rarely,Less,High prices,Sit-down dining
590,Rarely,Less,Lack of sit down dining elements,Sit-down dining
591,Rarely,Less,Lack of sit down dining elements,Sit-down dining
592,Monthly,Less,Lack of sit down dining elements,Fast-food
593,Never visited before,More,High prices,Fast-food
594,Monthly,Less,High prices,Fast-food
595,Monthly,More,Quality of food,Fast-food
596,Daily,More,Lack of sit down dining elements,Fast-food
597,Daily,Less,Lack of sit down dining elements,Sit-down dining
598,Weekly,Less,Poor service,Sit-down dining
599,Daily,Less,High prices,Sit-down dining
600,Daily,Less,Poor service,Fast-food
601,Monthly,Less,Quality of food,Fast-food
602,Monthly,More,Quality of food,Fast-food
603,Rarely,Less,Lack of sit down dining elements,Fast-food
604,Weekly,More,Lack of sit down dining elements,Sit-down dining
605,Monthly,More,High prices,Fast-food
606,Weekly,Less,Poor service,Sit-down dining
607,Rarely,More,Poor service,Sit-down dining
608,Monthly,Less,Poor service,Fast-food
609,Monthly,Less,Poor service,Sit-down dining
610,Daily,More,High prices,Fast-food
611,Daily,Less,Lack of sit down dining elements,Fast-food
612,Rarely,Less,Lack of sit down dining elements,Fast-food
613,Monthly,More,Poor service,Sit-down dining
614,Rarely,Less,High prices,Fast-food
615,Daily,More,Lack of sit down dining elements,Sit-down dining
616,Monthly,Less,Lack of sit down dining elements,Sit-down dining
617,Daily,Less,Lack of sit down dining elements,Fast-food
618,Monthly,Less,High prices,Sit-down dining
619,Never visited before,Less,Quality of food,Sit-down dining
620,Monthly,Less,High prices,Fast-food
621,Monthly,Less,High prices,Fast-food
622,Monthly,More,Poor service,Fast-food
623,Never visited before,Less,Poor service,Fast-food
624,Daily,Less,Lack of sit down dining elements,Sit-down dining
625,Weekly,Less,Quality of food,Fast-food
626,Rarely,Less,High prices,Sit-down dining
627,Weekly,Less,Poor service,Fast-food
628,Rarely,More,High prices,Fast-food
629,Rarely,More,Lack of sit down dining elements,Sit-down dining
630,Rarely,Less,Quality of food,Sit-down dining
631,Monthly,More,Quality of food,Fast-food
632,Never visited before,Less,Poor service,Sit-down dining
633,Rarely,Less,Lack of sit down dining elements,Sit-down dining
634,Monthly,Less,High prices,Sit-down dining
635,Rarely,More,Quality of food,Fast-food
636,Rarely,Less,High prices,Sit-down dining
637,Never visited before,More,Lack of sit down dining elements,Sit-down dining
638,Rarely,More,Quality of food,Fast-food
639,Rarely,Less,Lack of sit down dining elements,Fast-food
640,Weekly,More,Lack of sit down dining elements,Fast-food
641,Monthly,Less,Poor service,Fast-food
642,Rarely,More,High prices,Sit-down dining
643,Rarely,Less,Lack of sit down dining elements,Sit-down dining
644,Daily,Less,Poor service,Sit-down dining
645,Monthly,Less,High prices,Sit-down dining
646,Never visited before,Less,High prices,Sit-down dining
647,Daily,Less,High prices,Fast-food
648,Rarely,Less,Lack of sit down dining elements,Sit-down dining
649,Daily,Less,Quality of food,Sit-down dining
650,Daily,Less,Lack of sit down dining elements,Sit-down dining
651,Monthly,More,High prices,Fast-food
652,Weekly,Less,Lack of sit down dining elements,Sit-down dining
653,Weekly,Less,High prices,Sit-down dining
654,Daily,Less,Quality of food,Sit-down dining
655,Monthly,Less,Poor service,Sit-down dining
656,Never visited before,Less,High prices,Sit-down dining
657,Daily,More,High prices,Fast-food
658,Monthly,Less,Lack of sit down dining elements,Fast-food
659,Never visited before,Less,High prices,Fast-food
660,Monthly,More,Lack of sit down dining elements,Sit-down dining
661,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
662,Weekly,More,High prices,Fast-food
663,Daily,Less,Quality of food,Sit-down dining
664,Weekly,Less,Lack of sit down dining elements,Fast-food
665,Rarely,Less,High prices,Sit-down dining
666,Never visited before,Less,Poor service,Sit-down dining
667,Monthly,More,High prices,Fast-food
668,Rarely,More,Lack of sit down dining elements,Fast-food
669,Rarely,More,Quality of food,Sit-down dining
670,Rarely,More,High prices,Sit-down dining
671,Monthly,Less,Poor service,Sit-down dining
672,Weekly,Less,Poor service,Fast-food
673,Rarely,Less,High prices,Sit-down dining
674,Monthly,More,Quality of food,Sit-down dining
675,Weekly,Less,High prices,Fast-food
676,Monthly,Less,Poor service,Fast-food
677,Weekly,More,Lack of sit down dining elements,Fast-food
678,Weekly,Less,High prices,Fast-food
679,Rarely,Less,Lack of sit down dining elements,Sit-down dining
680,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
681,Daily,More,Lack of sit down dining elements,Fast-food
682,Rarely,More,Poor service,Sit-down dining
683,Monthly,Less,Poor service,Fast-food
684,Daily,Less,Lack of sit down dining elements,Fast-food
685,Daily,More,Lack of sit down dining elements,Sit-down dining
686,Never visited before,More,High prices,Fast-food
687,Rarely,Less,Lack of sit down dining elements,Fast-food
688,Weekly,Less,Lack of sit down dining elements,Fast-food
689,Rarely,Less,Lack of sit down dining elements,Sit-down dining
690,Monthly,Less,Lack of sit down dining elements,Sit-down dining
691,Weekly,Less,Quality of food,Fast-food
692,Daily,More,Lack of sit down dining elements,Fast-food
693,Never visited before,Less,Lack of sit down dining elements,Fast-food
694,Never visited before,Less,High prices,Fast-food
695,Weekly,Less,High prices,Fast-food
696,Monthly,Less,Quality of food,Sit-down dining
697,Weekly,Less,Poor service,Sit-down dining
698,Weekly,More,Poor service,Sit-down dining
699,Never visited before,Less,Lack of sit down dining elements,Fast-food
700,Rarely,Less,High prices,Sit-down dining
701,Monthly,Less,Quality of food,Sit-down dining
702,Never visited before,More,High prices,Fast-food
703,Rarely,Less,High prices,Fast-food
704,Monthly,Less,High prices,Fast-food
705,Monthly,Less,Poor service,Sit-down dining
706,Weekly,Less,Quality of food,Fast-food
707,Daily,Less,Quality of food,Fast-food
708,Rarely,Less,High prices,Fast-food
709,Monthly,More,Lack of sit down dining elements,Fast-food
710,Monthly,Less,Quality of food,Fast-food
711,Weekly,Less,Lack of sit down dining elements,Fast-food
712,Rarely,Less,Poor service,Sit-down dining
713,Never visited before,More,High prices,Sit-down dining
714,Weekly,Less,Poor service,Sit-down dining
715,Monthly,More,High prices,Sit-down dining
716,Rarely,Less,High prices,Sit-down dining
717,Weekly,Less,Lack of sit down dining elements,Fast-food
718,Monthly,Less,High prices,Sit-down dining
719,Rarely,Less,Poor service,Fast-food
720,Monthly,Less,Quality of food,Fast-food
721,Monthly,Less,Lack of sit down dining elements,Sit-down dining
722,Weekly,Less,High prices,Fast-food
723,Monthly,Less,Lack of sit down dining elements,Fast-food
724,Rarely,Less,Poor service,Sit-down dining
725,Rarely,Less,High prices,Fast-food
726,Monthly,Less,Lack of sit down dining elements,Fast-food
727,Rarely,Less,High prices,Sit-down dining
728,Daily,More,High prices,Sit-down dining
729,Daily,Less,Quality of food,Fast-food
730,Rarely,Less,Quality of food,Fast-food
731,Rarely,Less,Poor service,Fast-food
732,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
733,Monthly,Less,Quality of food,Sit-down dining
734,Monthly,More,High prices,Sit-down dining
735,Daily,Less,High prices,Sit-down dining
736,Rarely,Less,Lack of sit down dining elements,Sit-down dining
737,Weekly,More,High prices,Fast-food
738,Rarely,Less,Lack of sit down dining elements,Fast-food
739,Rarely,Less,Lack of sit down dining elements,Fast-food
740,Weekly,More,High prices,Fast-food
741,Daily,Less,Lack of sit down dining elements,Sit-down dining
742,Never visited before,Less,High prices,Fast-food
743,Rarely,Less,High prices,Fast-food
744,Weekly,More,High prices,Sit-down dining
745,Rarely,Less,High prices,Fast-food
746,Monthly,More,Quality of food,Sit-down dining
747,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
748,Never visited before,More,Lack of sit down dining elements,Fast-food
749,Never visited before,Less,Poor service,Sit-down dining
750,Monthly,Less,High prices,Sit-down dining
751,Weekly,Less,High prices,Fast-food
752,Rarely,Less,High prices,Sit-down dining
753,Weekly,Less,Lack of sit down dining elements,Fast-food
754,Daily,Less,Quality of food,Sit-down dining
755,Monthly,More,High prices,Fast-food
756,Weekly,More,Quality of food,Sit-down dining
757,Daily,More,Lack of sit down dining elements,Fast-food
758,Rarely,Less,High prices,Fast-food
759,Monthly,Less,Poor service,Sit-down dining
760,Monthly,Less,Lack of sit down dining elements,Sit-down dining
761,Rarely,More,High prices,Sit-down dining
762,Weekly,Less,Poor service,Fast-food
763,Monthly,Less,Quality of food,Fast-food
764,Never visited before,Less,High prices,Fast-food
765,Rarely,More,Lack of sit down dining elements,Fast-food
766,Monthly,Less,Poor service,Sit-down dining
767,Daily,Less,Quality of food,Fast-food
768,Monthly,Less,Lack of sit down dining elements,Fast-food
769,Monthly,Less,Poor service,Fast-food
770,Rarely,Less,High prices,Sit-down dining
771,Monthly,Less,High prices,Fast-food
772,Rarely,Less,High prices,Sit-down dining
773,Monthly,Less,Lack of sit down dining elements,Sit-down dining
774,Daily,Less,Lack of sit down dining elements,Fast-food
775,Monthly,Less,Quality of food,Fast-food
776,Weekly,Less,High prices,Sit-down dining
777,Monthly,Less,Lack of sit down dining elements,Sit-down dining
778,Weekly,Less,Lack of sit down dining elements,Fast-food
779,Rarely,More,High prices,Sit-down dining
780,Never visited before,Less,High prices,Sit-down dining
781,Rarely,Less,Lack of sit down dining elements,Sit-down dining
782,Never visited before,Less,Lack of sit down dining elements,Fast-food
783,Monthly,Less,Quality of food,Sit-down dining
784,Never visited before,More,Lack of sit down dining elements,Sit-down dining
785,Never visited before,Less,Lack of sit down dining elements,Fast-food
786,Monthly,Less,Lack of sit down dining elements,Sit-down dining
787,Never visited before,Less,High prices,Fast-food
788,Monthly,Less,Lack of sit down dining elements,Fast-food
789,Rarely,Less,Lack of sit down dining elements,Fast-food
790,Rarely,Less,Lack of sit down dining elements,Fast-food
791,Rarely,Less,Lack of sit down dining elements,Sit-down dining
792,Rarely,More,Lack of sit down dining elements,Sit-down dining
793,Daily,More,Lack of sit down dining elements,Sit-down dining
794,Daily,Less,High prices,Fast-food
795,Daily,Less,Quality of food,Fast-food
796,Rarely,Less,Lack of sit down dining elements,Fast-food
797,Rarely,Less,Lack of sit down dining elements,Sit-down dining
798,Rarely,Less,Lack of sit down dining elements,Fast-food
799,Weekly,Less,High prices,Fast-food
800,Monthly,More,High prices,Fast-food
801,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
802,Weekly,More,Lack of sit down dining elements,Sit-down dining
803,Rarely,More,Lack of sit down dining elements,Fast-food
804,Daily,Less,Quality of food,Fast-food
805,Monthly,More,Poor service,Fast-food
806,Rarely,More,Quality of food,Fast-food
807,Monthly,More,Quality of food,Fast-food
808,Rarely,More,High prices,Sit-down dining
809,Rarely,Less,High prices,Fast-food
810,Daily,Less,Lack of sit down dining elements,Sit-down dining
811,Weekly,Less,High prices,Fast-food
812,Never visited before,Less,High prices,Sit-down dining
813,Monthly,Less,High prices,Fast-food
814,Rarely,Less,High prices,Sit-down dining
815,Monthly,Less,Quality of food,Sit-down dining
816,Rarely,Less,Lack of sit down dining elements,Fast-food
817,Never visited before,More,High prices,Sit-down dining
818,Rarely,Less,High prices,Sit-down dining
819,Monthly,Less,High prices,Fast-food
820,Daily,Less,Lack of sit down dining elements,Fast-food
821,Weekly,More,High prices,Fast-food
822,Never visited before,More,Lack of sit down dining elements,Fast-food
823,Daily,Less,High prices,Sit-down dining
824,Daily,More,Poor service,Fast-food
825,Daily,Less,High prices,Fast-food
826,Monthly,Less,Lack of sit down dining elements,Fast-food
827,Weekly,Less,Lack of sit down dining elements,Sit-down dining
828,Never visited before,More,High prices,Fast-food
829,Weekly,Less,Lack of sit down dining elements,Sit-down dining
830,Weekly,Less,Lack of sit down dining elements,Sit-down dining
831,Monthly,Less,Lack of sit down dining elements,Sit-down dining
832,Daily,More,High prices,Fast-food
833,Never visited before,More,High prices,Sit-down dining
834,Monthly,Less,Lack of sit down dining elements,Sit-down dining
835,Monthly,More,Quality of food,Fast-food
836,Rarely,More,High prices,Sit-down dining
837,Weekly,Less,Poor service,Fast-food
838,Never visited before,Less,High prices,Fast-food
839,Daily,Less,High prices,Sit-down dining
840,Daily,Less,High prices,Fast-food
841,Monthly,Less,Quality of food,Sit-down dining
842,Rarely,Less,High prices,Sit-down dining
843,Daily,More,High prices,Fast-food
844,Rarely,Less,Lack of sit down dining elements,Fast-food
845,Weekly,Less,High prices,Fast-food
846,Rarely,Less,Quality of food,Fast-food
847,Weekly,Less,Poor service,Fast-food
848,Rarely,Less,High prices,Fast-food
849,Daily,Less,High prices,Sit-down dining
850,Never visited before,Less,Lack of sit down dining elements,Fast-food
851,Rarely,Less,High prices,Sit-down dining
852,Rarely,Less,Poor service,Sit-down dining
853,Rarely,Less,High prices,Sit-down dining
854,Rarely,More,Quality of food,Sit-down dining
855,Rarely,Less,High prices,Fast-food
856,Rarely,More,Lack of sit down dining elements,Fast-food
857,Never visited before,Less,High prices,Fast-food
858,Monthly,Less,Lack of sit down dining elements,Fast-food
859,Daily,Less,Poor service,Sit-down dining
860,Monthly,Less,High prices,Sit-down dining
861,Monthly,Less,Lack of sit down dining elements,Fast-food
862,Monthly,Less,Lack of sit down dining elements,Fast-food
863,Monthly,More,High prices,Fast-food
864,Rarely,Less,Lack of sit down dining elements,Fast-food
865,Never visited before,Less,Poor service,Sit-down dining
866,Monthly,Less,Lack of sit down dining elements,Sit-down dining
867,Weekly,Less,High prices,Sit-down dining
868,Rarely,More,Lack of sit down dining elements,Sit-down dining
869,Weekly,Less,High prices,Fast-food
870,Daily,Less,High prices,Fast-food
871,Weekly,More,Quality of food,Sit-down dining
872,Daily,Less,Quality of food,Sit-down dining
873,Rarely,Less,High prices,Fast-food
874,Daily,More,High prices,Fast-food
875,Rarely,Less,Poor service,Fast-food
876,Daily,More,High prices,Sit-down dining
877,Never visited before,More,Lack of sit down dining elements,Sit-down dining
878,Rarely,More,Poor service,Fast-food
879,Never visited before,Less,High prices,Sit-down dining
880,Monthly,More,Lack of sit down dining elements,Sit-down dining
881,Daily,Less,Quality of food,Fast-food
882,Rarely,Less,High prices,Sit-down dining
883,Monthly,Less,Lack of sit down dining elements,Fast-food
884,Rarely,Less,High prices,Fast-food
885,Rarely,Less,Quality of food,Sit-down dining
886,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
887,Weekly,Less,Poor service,Sit-down dining
888,Monthly,More,Lack of sit down dining elements,Sit-down dining
889,Monthly,Less,High prices,Fast-food
890,Weekly,Less,High prices,Sit-down dining
891,Rarely,Less,Lack of sit down dining elements,Fast-food
892,Monthly,Less,Quality of food,Sit-down dining
893,Monthly,Less,High prices,Fast-food
894,Rarely,Less,High prices,Fast-food
895,Rarely,Less,Lack of sit down dining elements,Sit-down dining
896,Rarely,Less,High prices,Sit-down dining
897,Rarely,Less,Quality of food,Fast-food
898,Never visited before,Less,Quality of food,Fast-food
899,Weekly,More,Lack of sit down dining elements,Sit-down dining
900,Never visited before,Less,Lack of sit down dining elements,Fast-food
901,Never visited before,Less,Poor service,Sit-down dining
902,Never visited before,More,Poor service,Fast-food
903,Never visited before,Less,High prices,Fast-food
904,Rarely,Less,Quality of food,Fast-food
905,Weekly,Less,Lack of sit down dining elements,Fast-food
906,Never visited before,Less,Lack of sit down dining elements,Fast-food
907,Monthly,Less,Lack of sit down dining elements,Sit-down dining
908,Never visited before,More,Quality of food,Fast-food
909,Rarely,Less,High prices,Fast-food
910,Monthly,More,High prices,Sit-down dining
911,Monthly,More,Lack of sit down dining elements,Sit-down dining
912,Weekly,Less,High prices,Sit-down dining
913,Never visited before,Less,High prices,Sit-down dining
914,Weekly,More,Lack of sit down dining elements,Fast-food
915,Daily,Less,High prices,Fast-food
916,Daily,Less,Lack of sit down dining elements,Sit-down dining
917,Rarely,More,Poor service,Fast-food
918,Monthly,More,Lack of sit down dining elements,Sit-down dining
919,Daily,Less,High prices,Sit-down dining
920,Never visited before,Less,High prices,Sit-down dining
921,Rarely,Less,Poor service,Sit-down dining
922,Rarely,Less,Lack of sit down dining elements,Fast-food
923,Monthly,Less,Lack of sit down dining elements,Sit-down dining
924,Never visited before,Less,Lack of sit down dining elements,Fast-food
925,Monthly,Less,Lack of sit down dining elements,Fast-food
926,Monthly,More,Lack of sit down dining elements,Fast-food
927,Monthly,Less,High prices,Sit-down dining
928,Weekly,Less,Lack of sit down dining elements,Fast-food
929,Daily,More,Lack of sit down dining elements,Fast-food
930,Monthly,Less,High prices,Sit-down dining
931,Rarely,Less,Lack of sit down dining elements,Sit-down dining
932,Monthly,Less,Poor service,Sit-down dining
933,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
934,Monthly,Less,Lack of sit down dining elements,Fast-food
935,Rarely,Less,High prices,Fast-food
936,Daily,More,Quality of food,Fast-food
937,Rarely,Less,Poor service,Sit-down dining
938,Rarely,More,High prices,Sit-down dining
939,Monthly,Less,Poor service,Sit-down dining
940,Rarely,More,Poor service,Fast-food
941,Never visited before,Less,Lack of sit down dining elements,Fast-food
942,Never visited before,Less,Quality of food,Fast-food
943,Weekly,Less,Lack of sit down dining elements,Sit-down dining
944,Rarely,Less,Quality of food,Sit-down dining
945,Rarely,Less,Quality of food,Fast-food
946,Weekly,Less,Poor service,Fast-food
947,Monthly,Less,Lack of sit down dining elements,Sit-down dining
948,Monthly,Less,Lack of sit down dining elements,Fast-food
949,Weekly,More,Lack of sit down dining elements,Sit-down dining
950,Weekly,Less,Poor service,Fast-food
951,Never visited before,More,Lack of sit down dining elements,Fast-food
952,Monthly,Less,Lack of sit down dining elements,Fast-food
953,Rarely,More,Lack of sit down dining elements,Fast-food
954,Daily,Less,Poor service,Sit-down dining
955,Never visited before,Less,Lack of sit down dining elements,Fast-food
956,Weekly,Less,Lack of sit down dining elements,Fast-food
957,Monthly,Less,Lack of sit down dining elements,Fast-food
958,Daily,Less,High prices,Fast-food
959,Rarely,Less,Poor service,Fast-food
960,Never visited before,More,Lack of sit down dining elements,Fast-food
961,Monthly,More,High prices,Fast-food
962,Monthly,Less,Quality of food,Sit-down dining
963,Rarely,Less,Lack of sit down dining elements,Sit-down dining
964,Rarely,Less,Lack of sit down dining elements,Sit-down dining
965,Never visited before,Less,Poor service,Fast-food
966,Weekly,More,High prices,Sit-down dining
967,Never visited before,Less,High prices,Fast-food
968,Daily,Less,Poor service,Sit-down dining
969,Monthly,Less,Lack of sit down dining elements,Sit-down dining
970,Monthly,Less,High prices,Fast-food
971,Daily,Less,Poor service,Sit-down dining
972,Never visited before,More,High prices,Sit-down dining
973,Rarely,Less,High prices,Fast-food
974,Rarely,Less,Quality of food,Sit-down dining
975,Never visited before,More,High prices,Fast-food
976,Rarely,Less,Lack of sit down dining elements,Sit-down dining
977,Rarely,More,Poor service,Sit-down dining
978,Monthly,Less,High prices,Fast-food
979,Never visited before,Less,Lack of sit down dining elements,Fast-food
980,Rarely,Less,Quality of food,Sit-down dining
981,Weekly,Less,High prices,Sit-down dining
982,Weekly,More,High prices,Sit-down dining
983,Rarely,Less,High prices,Fast-food
984,Weekly,More,High prices,Sit-down dining
985,Weekly,Less,High prices,Fast-food
986,Daily,Less,Poor service,Fast-food
987,Weekly,Less,Quality of food,Fast-food
988,Never visited before,Less,High prices,Sit-down dining
989,Monthly,More,High prices,Fast-food
990,Monthly,Less,Poor service,Fast-food
991,Never visited before,Less,Quality of food,Sit-down dining
992,Rarely,Less,High prices,Fast-food
993,Daily,Less,High prices,Sit-down dining
994,Daily,Less,High prices,Fast-food
995,Weekly,Less,Lack of sit down dining elements,Sit-down dining
996,Rarely,Less,High prices,Sit-down dining
997,Monthly,Less,High prices,Fast-food
998,Daily,More,Lack of sit down dining elements,Sit-down dining
999,Daily,Less,Lack of sit down dining elements,Fast-food
1000,Monthly,Less,Quality of food,Fast-food
1001,Weekly,Less,Poor service,Sit-down dining
1002,Rarely,Less,Lack of sit down dining elements,Fast-food
1003,Weekly,Less,Poor service,Fast-food
1004,Daily,Less,High prices,Fast-food
1005,Monthly,More,Poor service,Sit-down dining
1006,Daily,More,High prices,Sit-down dining
1007,Rarely,More,Lack of sit down dining elements,Sit-down dining
1008,Daily,Less,High prices,Fast-food
1009,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1010,Monthly,More,High prices,Sit-down dining
1011,Monthly,More,Lack of sit down dining elements,Sit-down dining
1012,Rarely,Less,High prices,Fast-food
1013,Never visited before,Less,Quality of food,Fast-food
1014,Rarely,More,Poor service,Fast-food
1015,Never visited before,Less,High prices,Fast-food
1016,Weekly,Less,High prices,Sit-down dining
1017,Never visited before,More,Quality of food,Fast-food
1018,Daily,Less,High prices,Fast-food
1019,Weekly,Less,Lack of sit down dining elements,Fast-food
1020,Monthly,Less,Quality of food,Sit-down dining
1021,Monthly,Less,Quality of food,Sit-down dining
1022,Weekly,Less,Lack of sit down dining elements,Fast-food
1023,Weekly,Less,Quality of food,Fast-food
1024,Rarely,Less,High prices,Sit-down dining
1025,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1026,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1027,Never visited before,Less,High prices,Fast-food
1028,Rarely,Less,Lack of sit down dining elements,Fast-food
1029,Monthly,Less,Lack of sit down dining elements,Fast-food
1030,Daily,More,Quality of food,Sit-down dining
1031,Rarely,Less,High prices,Fast-food
1032,Weekly,Less,Quality of food,Sit-down dining
1033,Monthly,Less,High prices,Fast-food
1034,Rarely,Less,Poor service,Sit-down dining
1035,Monthly,Less,High prices,Fast-food
1036,Rarely,Less,Quality of food,Sit-down dining
1037,Never visited before,Less,Poor service,Sit-down dining
1038,Daily,Less,Quality of food,Sit-down dining
1039,Daily,Less,Lack of sit down dining elements,Sit-down dining
1040,Monthly,Less,Poor service,Fast-food
1041,Daily,Less,Poor service,Fast-food
1042,Daily,Less,High prices,Sit-down dining
1043,Monthly,More,Quality of food,Sit-down dining
1044,Weekly,Less,High prices,Sit-down dining
1045,Rarely,Less,High prices,Sit-down dining
1046,Monthly,Less,High prices,Fast-food
1047,Rarely,Less,High prices,Sit-down dining
1048,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1049,Rarely,Less,Poor service,Sit-down dining
1050,Rarely,Less,High prices,Sit-down dining
1051,Never visited before,More,High prices,Fast-food
1052,Monthly,Less,High prices,Sit-down dining
1053,Rarely,Less,High prices,Fast-food
1054,Monthly,Less,Quality of food,Sit-down dining
1055,Weekly,Less,Poor service,Fast-food
1056,Monthly,Less,High prices,Fast-food
1057,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1058,Monthly,More,Poor service,Fast-food
1059,Rarely,Less,High prices,Fast-food
1060,Monthly,Less,Quality of food,Fast-food
1061,Monthly,Less,Poor service,Sit-down dining
1062,Never visited before,More,High prices,Fast-food
1063,Daily,More,Lack of sit down dining elements,Sit-down dining
1064,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1065,Daily,Less,Lack of sit down dining elements,Sit-down dining
1066,Never visited before,Less,Poor service,Sit-down dining
1067,Rarely,More,High prices,Fast-food
1068,Weekly,Less,High prices,Sit-down dining
1069,Daily,Less,Lack of sit down dining elements,Fast-food
1070,Daily,Less,Lack of sit down dining elements,Fast-food
1071,Rarely,More,Quality of food,Sit-down dining
1072,Weekly,Less,Poor service,Fast-food
1073,Never visited before,Less,Poor service,Sit-down dining
1074,Rarely,Less,Quality of food,Fast-food
1075,Rarely,Less,Poor service,Sit-down dining
1076,Rarely,Less,High prices,Sit-down dining
1077,Weekly,More,Lack of sit down dining elements,Sit-down dining
1078,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1079,Daily,Less,Quality of food,Sit-down dining
1080,Daily,More,Lack of sit down dining elements,Fast-food
1081,Rarely,Less,Poor service,Fast-food
1082,Rarely,Less,High prices,Fast-food
1083,Monthly,More,Poor service,Sit-down dining
1084,Rarely,Less,High prices,Fast-food
1085,Never visited before,More,Quality of food,Fast-food
1086,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1087,Monthly,Less,Poor service,Fast-food
1088,Weekly,Less,Lack of sit down dining elements,Fast-food
1089,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1090,Monthly,Less,Lack of sit down dining elements,Fast-food
1091,Rarely,More,Lack of sit down dining elements,Fast-food
1092,Never visited before,More,High prices,Sit-down dining
1093,Weekly,Less,Lack of sit down dining elements,Fast-food
1094,Never visited before,Less,High prices,Fast-food
1095,Rarely,Less,High prices,Sit-down dining
1096,Monthly,Less,Lack of sit down dining elements,Fast-food
1097,Never visited before,More,Lack of sit down dining elements,Fast-food
1098,Monthly,Less,High prices,Sit-down dining
1099,Monthly,More,Lack of sit down dining elements,Sit-down dining
1100,Monthly,Less,Quality of food,Sit-down dining
1101,Monthly,Less,High prices,Sit-down dining
1102,Daily,Less,Lack of sit down dining elements,Sit-down dining
1103,Monthly,More,Lack of sit down dining elements,Fast-food
1104,Never visited before,Less,High prices,Fast-food
1105,Never visited before,More,High prices,Fast-food
1106,Daily,Less,High prices,Fast-food
1107,Monthly,Less,High prices,Fast-food
1108,Monthly,Less,Quality of food,Fast-food
1109,Monthly,Less,Quality of food,Fast-food
1110,Never visited before,Less,Quality of food,Sit-down dining
1111,Weekly,Less,Quality of food,Sit-down dining
1112,Never visited before,More,Lack of sit down dining elements,Sit-down dining
1113,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1114,Never visited before,Less,Poor service,Sit-down dining
1115,Weekly,Less,Poor service,Fast-food
1116,Daily,More,Lack of sit down dining elements,Sit-down dining
1117,Rarely,Less,High prices,Sit-down dining
1118,Monthly,Less,High prices,Fast-food
1119,Daily,More,Lack of sit down dining elements,Fast-food
1120,Rarely,Less,Quality of food,Sit-down dining
1121,Rarely,More,High prices,Sit-down dining
1122,Rarely,Less,High prices,Sit-down dining
1123,Weekly,More,High prices,Sit-down dining
1124,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1125,Monthly,More,Quality of food,Fast-food
1126,Monthly,Less,Lack of sit down dining elements,Fast-food
1127,Daily,Less,Quality of food,Fast-food
1128,Daily,Less,Quality of food,Fast-food
1129,Weekly,More,Poor service,Fast-food
1130,Monthly,More,Lack of sit down dining elements,Sit-down dining
1131,Rarely,Less,High prices,Sit-down dining
1132,Daily,Less,Quality of food,Sit-down dining
1133,Daily,Less,Lack of sit down dining elements,Fast-food
1134,Rarely,More,High prices,Fast-food
1135,Monthly,Less,Lack of sit down dining elements,Fast-food
1136,Weekly,Less,High prices,Fast-food
1137,Rarely,Less,High prices,Fast-food
1138,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1139,Monthly,More,High prices,Sit-down dining
1140,Rarely,More,High prices,Sit-down dining
1141,Never visited before,Less,High prices,Sit-down dining
1142,Daily,Less,Lack of sit down dining elements,Fast-food
1143,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1144,Monthly,More,Lack of sit down dining elements,Sit-down dining
1145,Never visited before,Less,Poor service,Sit-down dining
1146,Monthly,Less,Poor service,Sit-down dining
1147,Daily,More,Lack of sit down dining elements,Sit-down dining
1148,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1149,Monthly,More,Lack of sit down dining elements,Fast-food
1150,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1151,Monthly,More,Quality of food,Sit-down dining
1152,Daily,Less,High prices,Fast-food
1153,Daily,More,High prices,Sit-down dining
1154,Weekly,Less,High prices,Fast-food
1155,Daily,Less,Quality of food,Sit-down dining
1156,Rarely,Less,Poor service,Fast-food
1157,Rarely,More,High prices,Sit-down dining
1158,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1159,Weekly,Less,Lack of sit down dining elements,Fast-food
1160,Daily,More,Lack of sit down dining elements,Fast-food
1161,Rarely,Less,Quality of food,Fast-food
